9
18
4
9
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,100,101,101,101,101,101,102,0
0,116,25,25,25,25,25,118,0
0,116,0,0,0,9,9,118,0
0,116,0,208,96,96,0,118,0
0,116,0,0,0,0,0,118,0
0,116,253,0,224,0,253,118,0
0,116,269,0,0,0,269,118,0
0,132,101,101,101,101,101,102,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,42,0,42,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
