22
18
1
1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1
1,2,1,20,1,2,1,21,1,2,1,22,1,2,1,20,1,2,1,21,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1
1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1
1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1
1,2,1,10,1,2,1,11,1,2,1,12,1,2,1,13,1,2,1,31,2,1
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1
1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1
1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14,2,1
1,2,40,40,41,41,40,40,41,41,40,40,41,41,40,40,41,41,40,40,2,1
1,2,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
