20
16
2
2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1,2,3,20,3,3,21,3,3,3,3,3,3,22,3,3,20,3,2,1
1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
1,2,20,3,3,22,3,3,3,3,3,3,3,3,21,3,3,20,2,1
1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1
1,2,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,1
1,2,31,10,31,31,31,31,31,31,31,31,31,31,31,31,11,31,2,1
1,2,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,1
1,2,31,31,31,13,31,31,31,31,31,31,31,31,13,31,31,31,2,1
1,2,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,1
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,2,1
1,2,40,40,40,4,4,4,41,41,41,41,41,4,4,4,40,40,2,1
1,2,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
