19
15
3
3
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,163,164,164
0,269,0,0,0,88,89,0,0,0,0,0,95,0,0,0,179,164,164
0,270,0,0,0,150,151,0,0,0,0,0,0,0,0,0,179,164,164
194,194,181,0,0,166,167,0,0,0,0,0,0,0,0,0,196,162,163
161,162,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179
177,0,0,0,0,172,173,174,0,0,0,169,170,170,171,0,0,0,179
177,0,0,0,0,204,205,206,0,0,0,185,0,0,187,0,0,0,179
193,181,0,0,0,0,0,0,0,0,0,185,0,202,203,0,180,194,195
249,193,181,0,0,0,0,0,0,0,0,185,0,0,0,0,179,249,249
249,249,193,181,0,0,0,0,0,0,0,201,170,170,170,186,196,163,249
249,249,249,177,0,0,0,230,231,0,0,0,0,0,0,0,0,179,249
249,249,249,177,0,0,0,246,247,0,0,0,0,180,194,194,194,195,249
249,249,249,193,194,194,194,194,194,194,194,194,194,195,249,249,249,249,249
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,72,73,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,96,0,0,244,0,244,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,80,0,0,149,0,42,0,0,0,0,0,0,0,0,244,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,165,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,80,0,0
0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,214,215,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
